TARGET_ID,Ind,Pop
A ten 220,A ten 220,Moore
A ten 222,A ten 222,Moore
A ten 224,A ten 224,Moore
A ten 225,A ten 225,Moore
A ten 226,A ten 226,Moore
A ten 228,A ten 228,Holmes
A ten 229,A ten 229,Holmes
A ten 230,A ten 230,Holmes
A ten 233,A ten 233,Holmes
A ten 235,A ten 235,Holmes
A ten 236,A ten 236,Holmes
A ten 242,A ten 242,Holmes
A ten 245,A ten 245,Holmes
A ten 247,A ten 247,Holmes
A ten 251,A ten 251,Holmes
A ten 275,A ten 275,Bougainville
A ten 276,A ten 276,Bougainville
A ten 278,A ten 278,Bougainville
A ten 282,A ten 282,Bougainville
A ten 283,A ten 283,Bougainville
A ten 289,A ten 289,Bougainville
A ten 293,A ten 293,Osprey
A ten 296,A ten 296,Osprey
A ten 302,A ten 302,Osprey
A ten 303,A ten 303,Osprey
A ten 304,A ten 304,Osprey
