"Cluster 1","Cluster 2","Ind","Site"
0.970836,0.0291641,"A ten 145","Herald"
0.969744,0.030256,"A ten 163","Chilcott"
0.958444,0.0415558,"A ten 184","Lihou"
0.116852,0.883148,"A ten 025","Wreck"
0.972804,0.0271957,"A ten 210","Moore"
0.972992,0.0270085,"A ten 243","Holmes"
0.920284,0.0797156,"A ten 299","Osprey"
0.903329,0.0966714,"A ten 039","Frederick"
0.9999,1e-04,"A ten 066","Marion"
0.914125,0.0858746,"A ten 084","Marion"
0.837798,0.162202,"A ten 092","Marion"
0.932555,0.0674453,"A ten 126","Flinders"
0.941552,0.0584483,"A ten 147","Chilcott"
0.9999,1e-04,"A ten 164","Chilcott"
0.9999,1e-04,"A ten 187","Lihou"
0.144685,0.855315,"A ten 026","Wreck"
0.932984,0.0670162,"A ten 211","Moore"
0.53927,0.46073,"A ten 256","Holmes"
0.900255,0.0997454,"A ten 301","Osprey"
0.221545,0.778455,"A ten 040","Frederick"
0.991151,0.00884913,"A ten 067","Marion"
0.596893,0.403107,"A ten 085","Marion"
0.670521,0.329479,"A ten 094","Marion"
0.976559,0.0234415,"A ten 129","Herald"
0.9999,1e-04,"A ten 149","Chilcott"
0.9999,1e-04,"A ten 174","Lihou"
0.967353,0.0326469,"A ten 188","Lihou"
0.987216,0.0127839,"A ten 027","Wreck"
0.949961,0.0500389,"A ten 214","Moore"
0.124811,0.875189,"A ten 041","Frederick"
0.850147,0.149853,"A ten 068","Marion"
0.571713,0.428287,"A ten 086","Marion"
0.988254,0.0117464,"A ten 095","Marion"
0.9999,1e-04,"A ten 135","Herald"
0.942877,0.0571228,"A ten 150","Chilcott"
0.866529,0.133471,"A ten 176","Lihou"
0.974391,0.0256088,"A ten 192","Lihou"
0.0968368,0.903163,"A ten 030","Wreck"
0.999155,0.000845199,"A ten 215","Moore"
0.000425246,0.999575,"A ten 273","Bougainville"
0.1278,0.8722,"A ten 042","Frederick"
0.952738,0.0472624,"A ten 070","Marion"
0.638159,0.361841,"A ten 087","Marion"
0.847213,0.152787,"A ten 099","Flinders"
0.9999,1e-04,"A ten 139","Herald"
0.942597,0.0574029,"A ten 151","Chilcott"
0.929826,0.0701744,"A ten 179","Lihou"
0.942502,0.0574976,"A ten193","Lihou"
0.901585,0.0984147,"A ten 012","Wreck"
0.0806125,0.919387,"A ten 234","Holmes"
0.947366,0.0526339,"A ten 250","Holmes"
0.959023,0.0409765,"A ten 294","Osprey"
0.957902,0.0420985,"A ten 043","Frederick"
0.963057,0.036943,"A ten 071","Marion"
0.83094,0.16906,"A ten 083","Marion"
0.96125,0.03875,"A ten 109","Flinders"
0.9999,1e-04,"A ten 125","Flinders"
0.985268,0.0147321,"A ten 143","Herald"
0.966695,0.0333051,"A ten 162","Chilcott"
0.954481,0.0455192,"A ten 212","Moore"
0.906334,0.0936663,"A ten 013","Wreck"
0.918123,0.0818766,"A ten 237","Holmes"
0.940288,0.0597121,"A ten 253","Holmes"
0.881525,0.118475,"A ten 295","Osprey"
0.122814,0.877186,"A ten 044","Frederick"
0.959705,0.0402955,"A ten 072","Marion"
0.600217,0.399783,"A ten 093","Marion"
0.984957,0.015043,"A ten 110","Flinders"
0.9999,1e-04,"A ten 128","Herald"
0.953413,0.0465871,"A ten 144","Herald"
0.980808,0.0191916,"A ten 170","Lihou"
0.9999,1e-04,"A ten 213","Moore"
0.738329,0.261671,"A ten 019","Wreck"
0.984898,0.0151016,"A ten 239","Holmes"
1e-04,0.9999,"A ten 272","Bougainville"
0.943966,0.0560342,"A ten 297","Osprey"
0.0558246,0.944175,"A ten 045","Frederick"
