"Cluster 1","Cluster 2","Ind","Site"
0.774048,0.225952,"A ten 098","Flinders"
0.958052,0.0419477,"A ten 121","Flinders"
0.898103,0.101897,"A ten 169","Lihou"
0.893664,0.106336,"A ten 195","Lihou"
0.359511,0.640489,"A ten 224","Moore"
1e-04,0.9999,"A ten 236","Holmes"
0.873532,0.126468,"A ten 101","Flinders"
0.875838,0.124162,"A ten 122","Flinders"
0.771372,0.228628,"A ten 196","Lihou"
0.85716,0.14284,"A ten 225","Moore"
0.86546,0.13454,"A ten 242","Holmes"
0.973679,0.0263214,"A ten 275","Bougainville"
0.967547,0.0324531,"A ten 289","Bougainville"
0.933156,0.0668436,"A ten 022","Wreck"
0.336573,0.663427,"A ten 105","Flinders"
0.68451,0.31549,"A ten 127","Flinders"
0.893542,0.106458,"A ten 172","Lihou"
0.937209,0.0627913,"A ten 199","Lihou"
0.757472,0.242528,"A ten 226","Moore"
0.886449,0.113551,"A ten 245","Holmes"
0.982978,0.0170215,"A ten 276","Bougainville"
0.830402,0.169598,"A ten 029","Wreck"
0.894258,0.105742,"A ten 108","Flinders"
0.87587,0.12413,"A ten 173","Lihou"
0.850859,0.149141,"A ten 200","Lihou"
0.733808,0.266192,"A ten 228","Holmes"
0.871033,0.128967,"A ten 247","Holmes"
0.860911,0.139089,"A ten 293","Osprey"
0.901541,0.0984589,"A ten 033","Wreck"
0.950547,0.0494527,"A ten 112","Flinders"
0.885112,0.114888,"A ten 136","Herald"
0.916978,0.0830217,"A ten 175","Lihou"
0.843026,0.156974,"A ten 208","Moore"
0.887045,0.112955,"A ten 229","Holmes"
0.983867,0.0161331,"A ten 251","Holmes"
0.951973,0.0480267,"A ten 278","Bougainville"
0.946293,0.0537066,"A ten 296","Osprey"
0.884948,0.115052,"A ten 116","Flinders"
0.760992,0.239008,"A ten 148","Chilcott"
0.691285,0.308715,"A ten 180","Lihou"
0.929002,0.0709976,"A ten 219","Moore"
0.841348,0.158652,"A ten 230","Holmes"
0.840242,0.159758,"A ten 302","Osprey"
